Driver Step Detail ID	Audit ID	Driver Step ID	APP Name	Run Name	Group Number	Run Order Number	Run Status Code	Error Process Number	SESSION START DATE TIME	SESSION END DATE TIME	Run Start Date Time	Run End Date Time	Create Date Time	Last Modified Date Time
16706110279	998109	1623720016	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	7	S	2	?	?	2016-08-31 13:58:41.640000	2016-08-31 13:59:04.250000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110232	998109	1589120100	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	10	S	2	?	?	2016-08-31 13:59:05.980000	2016-08-31 13:59:16.320000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110233	998109	1589120101	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	15	S	2	?	?	2016-08-31 13:59:17.780000	2016-08-31 13:59:26.280000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110234	998109	1589120102	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	20	S	2	?	?	2016-08-31 13:59:27.990000	2016-08-31 13:59:36.890000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110280	998109	1623720017	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	26	S	2	?	?	2016-08-31 13:59:38.730000	2016-08-31 14:00:00.960000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110281	998109	1623720018	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	27	S	2	?	?	2016-08-31 14:00:02.870000	2016-08-31 14:00:28.460000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110235	998109	1589120104	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	30	S	2	?	?	2016-08-31 14:00:30.270000	2016-08-31 14:00:40.610000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110236	998109	1589120105	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	35	S	2	?	?	2016-08-31 14:00:42.960000	2016-08-31 14:00:52.650000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110237	998109	1589120106	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	800	40	S	2	?	?	2016-08-31 14:00:54.790000	2016-08-31 14:01:04.540000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110238	998109	1589120107	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	900	5	S	2	?	?	2016-08-31 13:58:22.240000	2016-08-31 13:58:38.120000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110239	998109	1589120108	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	900	10	S	2	?	?	2016-08-31 13:58:39.850000	2016-08-31 13:58:50.770000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110240	998109	1589120109	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	900	15	S	2	?	?	2016-08-31 13:58:52.440000	2016-08-31 13:59:02.810000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110241	998109	1589120110	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	900	20	S	2	?	?	2016-08-31 13:59:04.570000	2016-08-31 13:59:22.230000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110242	998109	1589120111	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	900	25	S	2	?	?	2016-08-31 13:59:26.880000	2016-08-31 14:00:15.400000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110243	998109	1589120112	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	900	30	S	2	?	?	2016-08-31 14:00:17.270000	2016-08-31 14:00:28.470000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110244	998109	1589120113	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	900	35	S	2	?	?	2016-08-31 14:00:30.360000	2016-08-31 14:00:44.700000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110245	998109	1589120114	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	950	10	S	2	?	?	2016-08-31 14:09:29.460000	2016-08-31 14:09:39.830000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110246	998109	1589120115	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	1000	5	S	2	?	?	2016-08-31 14:09:42.840000	2016-08-31 14:10:24.160000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110247	998109	1589120116	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	1000	10	S	2	?	?	2016-08-31 14:10:25.830000	2016-08-31 14:10:36.000000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110248	998109	1589120117	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	1000	15	S	2	?	?	2016-08-31 14:10:37.520000	2016-08-31 14:10:45.150000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110249	998109	1589120118	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	1000	20	S	2	?	?	2016-08-31 14:10:46.620000	2016-08-31 14:11:02.220000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110250	998109	1589120119	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	1000	25	S	2	?	?	2016-08-31 14:11:03.750000	2016-08-31 14:11:11.170000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110251	998109	1589120120	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	1100	5	S	2	?	?	2016-08-31 14:09:47.000000	2016-08-31 14:10:20.230000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110252	998109	1589120121	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	1100	10	S	2	?	?	2016-08-31 14:10:21.690000	2016-08-31 14:10:33.210000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
16706110253	998109	1589120122	EDW	O_2_D_LIFE_APTX_ALPHA_NRT	1100	15	S	2	?	?	2016-08-31 14:10:34.700000	2016-08-31 14:10:44.210000	2016-08-31 13:31:13.810000	2016-08-31 13:31:13.810000
